_id,dataCollectionDate,beachName,windSpeed,windDirection
16631,2024-04-26,Marie Curtis Park East Beach,,None
16632,2024-04-26,Sunnyside Beach,,None
16633,2024-04-26,Hanlan's Point Beach,,None
16634,2024-04-26,Gibraltar Point Beach,,None
16635,2024-04-26,Centre Island Beach,,None
16636,2024-04-26,Ward's Island Beach,,None
16637,2024-04-26,Cherry Beach,,None
16638,2024-04-26,Woodbine Beaches,,None
16639,2024-04-26,Kew Balmy Beach,,None
16640,2024-04-26,Bluffer's Beach Park,,None
11908,2024-05-15,Marie Curtis Park East Beach,,None
11909,2024-05-15,Sunnyside Beach,,None
11910,2024-05-15,Hanlan's Point Beach,,None
11911,2024-05-15,Gibraltar Point Beach,,None
11912,2024-05-15,Centre Island Beach,,None
11913,2024-05-15,Ward's Island Beach,,None
11914,2024-05-15,Cherry Beach,,None
11915,2024-05-15,Woodbine Beaches,,None
11916,2024-05-15,Kew Balmy Beach,,None
11917,2024-05-15,Bluffer's Beach Park,,None
12888,2024-05-21,Marie Curtis Park East Beach,9,SE
12889,2024-05-21,Sunnyside Beach,9,SE
12890,2024-05-21,Hanlan's Point Beach,9,SE
12891,2024-05-21,Gibraltar Point Beach,9,SE
12892,2024-05-21,Centre Island Beach,9,SE
12893,2024-05-21,Ward's Island Beach,9,SE
12894,2024-05-21,Cherry Beach,9,SE
12895,2024-05-21,Woodbine Beaches,9,SE
12896,2024-05-21,Kew Balmy Beach,9,SE
12897,2024-05-21,Bluffer's Beach Park,9,SE
16401,2024-05-22,Marie Curtis Park East Beach,9,SE
16402,2024-05-22,Sunnyside Beach,9,SE
16403,2024-05-22,Hanlan's Point Beach,9,SE
16404,2024-05-22,Gibraltar Point Beach,9,SE
16405,2024-05-22,Centre Island Beach,9,SE
16406,2024-05-22,Ward's Island Beach,9,SE
16407,2024-05-22,Cherry Beach,9,SE
16408,2024-05-22,Woodbine Beaches,9,SE
16409,2024-05-22,Kew Balmy Beach,9,SE
16410,2024-05-22,Bluffer's Beach Park,9,SE
12158,2024-05-23,Marie Curtis Park East Beach,15,W
12159,2024-05-23,Sunnyside Beach,15,W
12160,2024-05-23,Hanlan's Point Beach,15,W
12161,2024-05-23,Gibraltar Point Beach,15,W
12162,2024-05-23,Centre Island Beach,15,W
12163,2024-05-23,Ward's Island Beach,15,W
12164,2024-05-23,Cherry Beach,15,W
12165,2024-05-23,Woodbine Beaches,15,W
12166,2024-05-23,Kew Balmy Beach,15,W
12167,2024-05-23,Bluffer's Beach Park,15,W
15371,2024-05-24,Marie Curtis Park East Beach,18,NW
15372,2024-05-24,Sunnyside Beach,18,NW
15373,2024-05-24,Hanlan's Point Beach,18,NW
15374,2024-05-24,Gibraltar Point Beach,18,NW
15375,2024-05-24,Centre Island Beach,18,NW
