_id,name,category,phone,website,address,postal_code,municipality,city,description,geometry
1,299 Queen Street West,Landmark,416-384-6104,https://www.much.com/,299 Queen St W,M5V 2Z5,former Toronto,Toronto,A monumental building that was once dedicated to engaging the youth through popular music and popular television series.,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.39044, 43.64942]]}"
2,Aga Khan Museum,Museum,416-646-4677,https://www.agakhanmuseum.org/,77 Wynford Dr,M3C 1K1,North York,Toronto,"Dedicated to sharing the artistic, intellectual, and scientific contributions that Islamic civilizations and cultures have made to world heritage.","{""type"": ""MultiPoint"", ""coordinates"": [[-79.33223, 43.72526]]}"
3,Al Green Theatre (at the Miles Nadal Jewish Community Centre),Performing Arts,416-924-6211,http://www.algreentheatre.ca/,750 Spadina Ave,M5S 2J2,former Toronto,Toronto,"The Al Green Theatre is used  for social and corporate event, theatre, film, concerts, dance; and lectures.","{""type"": ""MultiPoint"", ""coordinates"": [[-79.40395, 43.66641]]}"
4,Alexander Muir Memorial Gardens,Nature/ Park,416-396-7378,https://www.toronto.ca/data/parks/prd/facilities/complex/193/index.html,2901 Yonge St,M4N 3N8,former Toronto,Toronto,Named after the famous composer Alexander Muir. The gardens act as a path into the tranquil ravine system that includes walking trails. The gardens are open year round.,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4012, 43.72157]]}"
5,Allan Gardens,Nature/ Park,416-392-7288,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/beaches-gardens-attractions/gardens-and-horticulture/conservatories/allan-gardens-conservatory/,19 Horticultural Ave,M5A 2P2,former Toronto,Toronto,Allan Gardens is a park and indoor botanical garden built in 1910. The building houses six greenhouses featuring plants and flowers from across the globe. Open year round and free to the public.,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.37458, 43.66153]]}"
6,Alumnae Theatre,Performing Arts,416-364-4170,https://www.alumnaetheatre.com/,70 Berkeley St,M5A 2W6,former Toronto,Toronto,The theatre company is housed inside an old firehall and is the oldest theatre society in Toronto. Each year the company offers three productions.,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.36498, 43.65273]]}"
7,Arcadia Earth,Attraction,None,https://www.arcadiaearth.ca/,486 Front St,M5V 0V2,former Toronto,Toronto,Arcadia Earth is a multi-sensory journey that combines creative art installations and exciting technology that showcases the beauty of our planet.,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.397, 43.64297]]}"
8,Art Gallery of Ontario,Gallery,416-979-6648,https://ago.ca/,317 Dundas St W,M5T 1G4,former Toronto,Toronto,"The Art Gallery of Ontario (AGO) is one of the largest art galleries in North America, and holds more than 80,000 works in its collection. In 2008 the building was redesigned by famous architect and native Torontonian, Frank Gehry.","{""type"": ""MultiPoint"", ""coordinates"": [[-79.39253, 43.6536]]}"
9,Art Museum at the University of Toronto,Gallery,416-978-1838,https://artmuseum.utoronto.ca/,15 King's College Crcl,M5S 3H7,former Toronto,Toronto,Originally opened in 1996 The Arts centre puts a special focus on study collections.,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.39579, 43.66316]]}"
10,Artscape Wychwood Barns,Landmark,647-696-6962,https://artscapewychwoodbarns.ca/,601 Christie St,M6G 4C7,former Toronto,Toronto,"A heritage building converted into a community centre that hosts many events, festivals, farmers market and a children's theatre.","{""type"": ""MultiPoint"", ""coordinates"": [[-79.42384, 43.67989]]}"
11,Ashbridges Bay Park,Nature/ Park,416-392-2489,https://www.toronto.ca/data/parks/prd/facilities/complex/1/index.html,1561 Lake Shore Blvd E,M4L 3W6,former Toronto,Toronto,"Ashbridges Bay waterfront park features large beaches, fishing areas, a marina, and the Woodbine Beach boardwalk.","{""type"": ""MultiPoint"", ""coordinates"": [[-79.31033, 43.65996]]}"
12,Balmy Beach Park,Nature/ Park,416-392-2489,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=427&title=Balmy-Beach-Park,1 Beech Ave,M4E 1A7,former Toronto,Toronto,"Created in 1903, the historic park features a lawn bowling club, a playground and outdoor fitness equipment.","{""type"": ""MultiPoint"", ""coordinates"": [[-79.28419, 43.67057]]}"
13,BAPS Shri Swaminarayan Mandir,Landmark,416-798-2277,http://www.baps.org/Global-Network/North-America/Toronto.aspx,61 Claireville Dr,M9W 5Z7,Etobicoke,Toronto,"This unique-to-Canada architectural monument is made with 24,000 pieces of marble and stone. Discover the more than 10,000-year-old heritage of India.","{""type"": ""MultiPoint"", ""coordinates"": [[-79.62676, 43.73865]]}"
14,Bata Shoe Museum,Museum,416-979-7799,https://batashoemuseum.ca/,327 Bloor St W,M5S 1W7,former Toronto,Toronto,"Home to hundreds of shoes (from a collection numbering over 13,000). The museum celebrates the style and function of footwear in impressive galleries from ancient Egypt to modern fashion.","{""type"": ""MultiPoint"", ""coordinates"": [[-79.40019, 43.66729]]}"
15,Beanfield Centre,Convention & Trade Centres,416-263-3000,https://www.beanfieldcentre.com/,105 Princes' Blvd,M6K 3C3,former Toronto,Toronto,The Beanfield Centre (formerly Allstream Centre) is an environmentally friendly conference venue.,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.41061, 43.63413]]}"
16,Betty Oliphant Theatre (at Canada's National Ballet School),Performing Arts,416-964-3780,https://www.nbs-enb.ca/venue-rentals/betty-oliphant-theatre,404 Jarvis St,M4Y 2G6,former Toronto,Toronto,"Designed by Jack Diamond, the Betty Oliphant Theatre is used by the Canada National Ballet School as a training and performance venue.","{""type"": ""MultiPoint"", ""coordinates"": [[-79.37802, 43.6642]]}"
17,Billy Bishop Toronto City Airport,Transportation,416-203-6942,https://www.billybishopairport.com/,2 Eireann Quay,M5V 1A1,former Toronto,Toronto,"Located minutes from the downtown core, Billy Bishop Airport serves nearby Canadian and American cities.","{""type"": ""MultiPoint"", ""coordinates"": [[-79.39451, 43.62891]]}"
18,Bluffer's Park and Beach (Scarborough Bluffs),Nature/ Park,416-392-2489,https://www.toronto.ca/data/parks/prd/facilities/complex/2/index.html,1 Brimley Rd S,M1M 3W3,Scarborough,Toronto,"Providing a beautiful backdrop for locals and visitors alike, the Bluffs are one of Toronto's great natural wonders.","{""type"": ""MultiPoint"", ""coordinates"": [[-79.23476772, 43.70820476]]}"
19,BMO Field,Sports / Entertainment Venue,416-815-5982,https://www.bmofield.com/,170 Princes' Blvd,M6K 3C3,former Toronto,Toronto,"BMO Field is home to the Toronto FC (Major League Soccer), Canada's national soccer team, and the home of the Toronto Argonauts (Canadian Football League).","{""type"": ""MultiPoint"", ""coordinates"": [[-79.41864, 43.63315]]}"
20,Bubble Planet,Attraction,None,https://bubble-planet.com/toronto/,30 Hanover Rd,M3K 0E2,North York,Toronto,"Bubble Planet is an immersive experience featuring VR technology, illusions, ball pits and more.","{""type"": ""MultiPoint"", ""coordinates"": [[-79.46831, 43.73808]]}"
21,Buddies in Bad Times Theatre,Performing Arts,416-975-8555,https://buddiesinbadtimes.com/,12 Alexander St,M4Y 1B4,former Toronto,Toronto,"Buddies in Bad Times theatre is the biggest, and the longest-running queer theatre in the world.","{""type"": ""MultiPoint"", ""coordinates"": [[-79.38307, 43.66331]]}"
22,Budweiser Stage,Sports / Entertainment Venue,416-260-5600,https://www.livenation.com/venue/KovZpZAEkkIA/budweiser-stage-events,909 Lake Shore Blvd W,M6K 3L3,former Toronto,Toronto,"Located within the Ontario Place grounds, the Budweiser Stage offers concert goers an excellent outdoors venue.","{""type"": ""MultiPoint"", ""coordinates"": [[-79.41512, 43.62921]]}"
23,CAA Ed Mirvish Theatre,Performing Arts,1-800-461-3333,https://www.mirvish.com/theatres/ed-mirvish-theatre,244 Victoria St,M5B 1V8,former Toronto,Toronto,"A part of the Toronto theatre scene since 1920, the Ed Mirvish Theatre is a picturesque theatre to view special presentations ranging from concerts, comedy, plays, and many more.","{""type"": ""MultiPoint"", ""coordinates"": [[-79.37942, 43.65524]]}"
