_id,dataCollectionDate,beachName,airTemp
16631,2024-04-26,Marie Curtis Park East Beach,
16632,2024-04-26,Sunnyside Beach,
16633,2024-04-26,Hanlan's Point Beach,
16634,2024-04-26,Gibraltar Point Beach,
16635,2024-04-26,Centre Island Beach,
16636,2024-04-26,Ward's Island Beach,
16637,2024-04-26,Cherry Beach,
16638,2024-04-26,Woodbine Beaches,
16639,2024-04-26,Kew Balmy Beach,
16640,2024-04-26,Bluffer's Beach Park,
11908,2024-05-15,Marie Curtis Park East Beach,
11909,2024-05-15,Sunnyside Beach,
11910,2024-05-15,Hanlan's Point Beach,
11911,2024-05-15,Gibraltar Point Beach,
11912,2024-05-15,Centre Island Beach,
11913,2024-05-15,Ward's Island Beach,
11914,2024-05-15,Cherry Beach,
11915,2024-05-15,Woodbine Beaches,
11916,2024-05-15,Kew Balmy Beach,
11917,2024-05-15,Bluffer's Beach Park,
12888,2024-05-21,Marie Curtis Park East Beach,18
12889,2024-05-21,Sunnyside Beach,18
12890,2024-05-21,Hanlan's Point Beach,18
12891,2024-05-21,Gibraltar Point Beach,18
12892,2024-05-21,Centre Island Beach,18
12893,2024-05-21,Ward's Island Beach,18
12894,2024-05-21,Cherry Beach,18
12895,2024-05-21,Woodbine Beaches,18
12896,2024-05-21,Kew Balmy Beach,18
12897,2024-05-21,Bluffer's Beach Park,18
16401,2024-05-22,Marie Curtis Park East Beach,19
16402,2024-05-22,Sunnyside Beach,19
16403,2024-05-22,Hanlan's Point Beach,19
16404,2024-05-22,Gibraltar Point Beach,19
16405,2024-05-22,Centre Island Beach,19
16406,2024-05-22,Ward's Island Beach,19
16407,2024-05-22,Cherry Beach,19
16408,2024-05-22,Woodbine Beaches,19
16409,2024-05-22,Kew Balmy Beach,19
16410,2024-05-22,Bluffer's Beach Park,19
12158,2024-05-23,Marie Curtis Park East Beach,16
12159,2024-05-23,Sunnyside Beach,16
12160,2024-05-23,Hanlan's Point Beach,16
12161,2024-05-23,Gibraltar Point Beach,16
12162,2024-05-23,Centre Island Beach,16
12163,2024-05-23,Ward's Island Beach,16
12164,2024-05-23,Cherry Beach,16
12165,2024-05-23,Woodbine Beaches,16
12166,2024-05-23,Kew Balmy Beach,16
12167,2024-05-23,Bluffer's Beach Park,16
15371,2024-05-24,Marie Curtis Park East Beach,15
15372,2024-05-24,Sunnyside Beach,15
